Comment,Designator,Footprint,LCSC Part #
1M,R2 R4 R20,R0805,
1N4148WS,D1 D2 D3 D4 D5,SODFL2512X100N,
1k,R1,R0805,
1n,C9,C0805,
1u,C4 C7 C10 C13 C14 C15 C18,C0805,
3k3,R13 R18 R28 R30,R0805,
10k,R6 R15 R17 R21,R0805,
20k,R14 R23,R0805,
33k,R5,R0805,
47R,R19 R22 R24 R31,R0805,
47n,C6 C8,C0805,
100k,R3 R7 R8 R9 R10 R11 R12 R16 R25 R26 R27 R29,R0805,
100n,C1 C5 C11,C0805,
100p,C2,C0805,
330p,C3,C0805,
470p,C12,C0805,
LM393DG,U1,SOIC127P600X175-8N,
MMBF5457,Q1,SOT96P237X111-3N,
MMBT3904,T1 T2 T3,SOT23-BEC,
MMBT3906,Q2 Q3 Q4,SOT23-BEC,
TL062D,IC1,SO08,
TL064D,IC2,SO14,
